21:17:20 [INFO] Opening target process: csgo.exe
21:17:20 [INFO] Starting signature scanning: 57 items
21:17:20 [INFO] Found signature: dwClientState => 0x58BFDC
21:17:20 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
21:17:20 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
21:17:20 [INFO] Found signature: dwClientState_Map => 0x28C
21:17:20 [INFO] Found signature: dwClientState_MapDirectory => 0x188
21:17:20 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
21:17:20 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
21:17:20 [INFO] Found signature: dwClientState_State => 0x108
21:17:20 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
21:17:20 [INFO] Found signature: clientstate_delta_ticks => 0x174
21:17:20 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
21:17:20 [INFO] Found signature: clientstate_choked_commands => 0x4D30
21:17:20 [INFO] Found signature: clientstate_net_channel => 0x9C
21:17:20 [INFO] Found signature: dwEntityList => 0x4DD69DC
21:17:20 [INFO] Found signature: dwForceAttack => 0x3206E9C
21:17:20 [INFO] Found signature: dwForceAttack2 => 0x3206EA8
21:17:20 [INFO] Found signature: dwForceBackward => 0x3206EE4
21:17:20 [INFO] Found signature: dwForceForward => 0x3206ED8
21:17:20 [INFO] Found signature: dwForceJump => 0x5280924
21:17:20 [INFO] Found signature: dwForceLeft => 0x3206EF0
21:17:20 [INFO] Found signature: dwForceRight => 0x3206EFC
21:17:20 [INFO] Found signature: dwGameDir => 0x62A900
21:17:20 [INFO] Found signature: dwGameRulesProxy => 0x52F414C
21:17:20 [INFO] Found signature: dwGetAllClasses => 0xDE4CEC
21:17:20 [INFO] Found signature: dwGlobalVars => 0x58BCE0
21:17:20 [INFO] Found signature: dwGlowObjectManager => 0x531F608
21:17:20 [INFO] Found signature: dwInput => 0x5227FB0
21:17:20 [INFO] Found signature: dwInterfaceLinkList => 0x96B264
21:17:20 [INFO] Found signature: dwLocalPlayer => 0xDBA5BC
21:17:20 [INFO] Found signature: dwMouseEnable => 0xDC02C8
21:17:20 [INFO] Found signature: dwMouseEnablePtr => 0xDC0298
21:17:20 [INFO] Found signature: dwPlayerResource => 0x3205240
21:17:20 [INFO] Found signature: dwRadarBase => 0x520B754
21:17:20 [INFO] Found signature: dwSensitivity => 0xDC0164
21:17:20 [INFO] Found signature: dwSensitivityPtr => 0xDC0138
21:17:20 [INFO] Found signature: dwSetClanTag => 0x8A320
21:17:20 [INFO] Found signature: dwViewMatrix => 0x4DC82F4
21:17:20 [INFO] Found signature: dwWeaponTable => 0x5228A74
21:17:20 [INFO] Found signature: dwWeaponTableIndex => 0x326C
21:17:20 [INFO] Found signature: dwYawPtr => 0xDBFF28
21:17:20 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDC6660
21:17:20 [INFO] Found signature: dwbSendPackets => 0xD81A2
21:17:20 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
21:17:20 [INFO] Found signature: m_pStudioHdr => 0x2950
21:17:20 [INFO] Found signature: m_yawClassPtr => 0xDBFF28
21:17:20 [INFO] Found signature: m_pitchClassPtr => 0x520B9F0
21:17:20 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
21:17:20 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
21:17:20 [INFO] Found signature: m_bDormant => 0xED
21:17:20 [INFO] Found signature: model_ambient_min => 0x58F054
21:17:20 [INFO] Found signature: set_abs_angles => 0x1E5990
